movie_id,title,genre,emotion_tags,BA,duration
27,28. The Silence of the Lambs (1991),"Crime, Drama, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DmWEt6upb8f0&ved=2ahUKEwir6_zfz-iKAxVMTqQEHdx2OqQQtwJ6BAgUEAI&usg=AOvVaw2QqedQVvLgyAM2gCL9pajX,118
28,29. Star Wars: Episode IV - A New Hope (1977),"Action, Adventure, Fantasy",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DPNyht4iTMX8&ved=2ahUKEwjV9cjmz-iKAxWITqQEHdtKJoIQtwJ6BAgKEAI&usg=AOvVaw3pUNoWgqabITfeS1PfEhZd,121
29,30. Harakiri (1962),"Action, Drama, Mystery",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DxC1PTxREKzQ&ved=2ahUKEwjmu8nsz-iKAxVFUaQEHbZuAsgQtwJ6BAgPEAI&usg=AOvVaw3-DkwuUyP3F188Q2mlqQC6,133
30,31. Seven Samurai (1954),"Action, Adventure, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DKJmVK4EUbgU&ved=2ahUKEwj6prHxz-iKAxUDV6QEHc7AJiEQtwJ6BAgPEAI&usg=AOvVaw0mXtHRSG5friMlXyUm_bPj,207
31,32. It's a Wonderful Life (1946),"Drama, Family, Fantasy",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DcEsirWAIduQ&ved=2ahUKEwi1nMz2z-iKAxVPVaQEHTBgAqwQtwJ6BAgPEAI&usg=AOvVaw2T9itZi6wndpG7XaAh8SDX,130
32,33. Joker (2019),"Crime, Drama, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DOoTx1cYC5u8&ved=2ahUKEwjB5ZGI0OiKAxW4K_sDHTY4LhUQtwJ6BAgOEAI&usg=AOvVaw0N0at3xpx0PdoYH8u8_hJu,122
33,34. Whiplash (2014),"Drama, Music",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Dyff8XTT3-5o&ved=2ahUKEwivyJ2O0OiKAxWPU6QEHVwfKmQQtwJ6BAgQEAI&usg=AOvVaw2jhsPq6yqm26DWq2i34dOc,106
34,35. The Intouchables (2011),"Biography, Comedy, Drama",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DcXu2MhWYUuE&ved=2ahUKEwixzcqT0OiKAxVcTKQEHcnwOQAQtwJ6BAgOEAI&usg=AOvVaw3uuy_IoxZ-5NYK8GQTSBCM,112
35,36. The Prestige (2006),"Drama, Mystery, Sci-Fi",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D2zVbrV1ehnU&ved=2ahUKEwiR8rGY0OiKAxWcVqQEHSw-JRMQtwJ6BAgREAI&usg=AOvVaw0J9pNFxoKNhZ5uVxayfMpk,130
36,37. The Departed (2006),"Crime, Drama, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DbtA3UIniGts&ved=2ahUKEwia-bid0OiKAxWcRaQEHWV3O64QtwJ6BAgREAI&usg=AOvVaw0kg_k7kEANLz5jhaumOojA,151
